geoshape_city_id,名称,郡,出典
09B0040002,家中村,下都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040003,皆川村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040004,寒川村,下都賀郡/寒川郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040005,間々田町/間々田宿/間々田村,下都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0040006,間々田町,下都賀郡,町村合併促進法公布時 (1953)
09B0040007,岩舟村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040009,桑村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040010,絹村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040011,国府村/国生村,下都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040012,国分寺村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040013,三鴨村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040014,姿村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040015,寺尾村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040016,小山宿/小山町,下都賀郡/都賀郡,元禄郷帳 (1696) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040017,小野寺村,下都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040018,吹上村,下都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040019,水代村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040020,瑞穂村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040021,生井村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040022,静和村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040023,赤津村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040024,赤麻村,下都賀郡,明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040025,大宮村,下都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040026,大谷村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040028,中村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
